'Description','Type / Format','Last Updated','File Name','Comments','Length','Values','Dataset Name','Dataset Description','Example','Name',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2014_15844','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2014',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2015_15845','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2015',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2016_15846','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2016',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2017_15847','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2017',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2018_15848','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2018',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2019_15849','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2019',
'FMPS allocation year','NUMBER','2013-05-07 00:53:49','FMPS_ALLOC_2020_15850','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','FMPS_ALLOC_2020',
'NULL','NUMBER','2013-05-07 00:54:46','FMPS_ALLOTMENT_BUDGET_17920','NULL','22','NULL','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_ALLOTMENT_BUDGET',
'FMPS Appropreiation amount; compound primary key along with BFY','VARCHAR2','2013-05-07 00:54:46','FMPS_APPR_17913','NULL','6',''220000'','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_APPR',
'FMPS appropriation  amount','VARCHAR2','2013-05-07 00:54:46','FMPS_APPR_17949','NULL','6','NULL','BU50T1_FMPS_FUNDING_STRIPS','Contains funding strip information recieved from FMPS.','NULL','FMPS_APPR',
'NULL','NUMBER','2013-05-07 00:54:46','FMPS_AVAILABLE_17923','NULL','22','NULL','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_AVAILABLE',
'NULL','NUMBER','2013-05-07 00:54:46','FMPS_AVAILABLE_17940','NULL','22','NULL','BU50T1_FMPS_EXPENDITURE_DETAIL','Table not used.','NULL','FMPS_AVAILABLE',
'NULL','NUMBER','2013-05-07 00:54:46','FMPS_BUDGETED_AMOUNT_17941','NULL','22','NULL','BU50T1_FMPS_EXPENDITURE_DETAIL','Table not used.','NULL','FMPS_BUDGETED_AMOUNT',
'FMPS cost center; compound primary key along with BFY','VARCHAR2','2013-05-07 00:54:46','FMPS_COST_CENTER_17916','NULL','20','NULL','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_COST_CENTER',
'NULL','NUMBER','2013-05-07 00:54:46','FMPS_ENCUMBRANCE_17921','NULL','22','NULL','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_ENCUMBRANCE',
'NULL','NUMBER','2013-05-07 00:54:46','FMPS_ENCUMBRANCE_17939','NULL','22','NULL','BU50T1_FMPS_EXPENDITURE_DETAIL','Table not used.','NULL','FMPS_ENCUMBRANCE',
'FMPS fund number; compound primary key along with BFY','VARCHAR2','2013-05-07 00:54:46','FMPS_FUND_17912','NULL','4','NULL','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_FUND',
'Primary key','NUMBER','2013-05-07 00:54:46','FMPS_FUNDING_STRIP_SEQ_17946','NULL','22','NULL','BU50T1_FMPS_FUNDING_STRIPS','Contains funding strip information recieved from FMPS.','NULL','FMPS_FUNDING_STRIP_SEQ',
'FMPS project number; compound primary key along with BFY','VARCHAR2','2013-05-07 00:54:46','FMPS_PROJ_NBR_17914','NULL','20','NULL','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FMPS_PROJ_NBR',
'not used','VARCHAR2','2013-05-07 00:53:48','FNCT_ASSGN_TO_15496','NULL','6','NULL','BU25T1_CODE_OBJECTS','A library listing City department','NULL','FNCT_ASSGN_TO',
'not used','VARCHAR2','2013-05-07 00:53:52','FNCT_ASSGN_TO_16554','NULL','6','NULL','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','FNCT_ASSGN_TO',
'not used','VARCHAR2','2013-05-07 00:53:48','FNCT_ASSGN_TO_REF_CODE_15497','NULL','2','NULL','BU25T1_CODE_OBJECTS','A library listing City department','NULL','FNCT_ASSGN_TO_REF_CODE',
'not used','VARCHAR2','2013-05-07 00:53:52','FNCT_ASSGN_TO_REF_CODE_16555','NULL','2','NULL','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','FNCT_ASSGN_TO_REF_CODE',
'Stores the level for the data to be printed.','NUMBER','2013-05-07 00:53:52','FNCT_PRINT_SEQ_16567','NULL','22','NULL','BU26T1_ORGS','Stores the organizations used by the budget system (CBS); a parent table that contains all the organizations.','NULL','FNCT_PRINT_SEQ',
'NULL','VARCHAR2','2013-05-07 00:53:46','FONT_NAME_15116','NULL','100','NULL','BOOK_STYLE','fonts and formatting library for Budget Book and Grant Detail Book','NULL','FONT_NAME',
'b bold','VARCHAR2','2013-05-07 00:53:46','FONT_TYPE_15119','NULL','2','B=Bold','BOOK_STYLE','fonts and formatting library for Budget Book and Grant Detail Book','NULL','FONT_TYPE',
'not used','DATE','2013-05-07 00:54:17','FOOD_HANDLERS_LICENSE_EXPIRES_16962','NULL','7','NULL','DHS_LICENSING','Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.','NULL','FOOD_HANDLERS_LICENSE_EXPIRES',
'not used','DATE','2013-05-07 00:54:17','FOOD_HANDLERS_LICENSE_ISSUED_16961','NULL','7','NULL','DHS_LICENSING','Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.','NULL','FOOD_HANDLERS_LICENSE_ISSUED',
'not used','NUMBER','2013-05-07 00:54:17','FOOD_HANDLERS_LICENSE_NUMBER_16963','NULL','22','NULL','DHS_LICENSING','Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.','NULL','FOOD_HANDLERS_LICENSE_NUMBER',
'Formal agreement? 1 - yes','NUMBER','2013-05-07 00:54:18','FORMAL_AGREEMENT_17085','NULL','22','1=Yes','DHS_SERVICE_LINKAGE','Additional agencies that applicant refers clients to.','NULL','FORMAL_AGREEMENT',
'status of form - draft','VARCHAR2','2013-09-27 09:19:45','FORMSTATUS_20553','NULL','30','NULL','FORM','Attributes about the filing form - when it was created','NULL','FORMSTATUS',
'If this was created from an existing record','NUMBER','2013-05-07 00:53:47','FROM_AA_SEQ_15379','NULL','22','NULL','BU25T1_APPR_AMTS','Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.','NULL','FROM_AA_SEQ',
'not used','NUMBER','2013-05-07 00:53:49','FROM_AA_SEQ_15775','NULL','22','NULL','BU25T1_EPROGRAMS','programs for equipment note','NULL','FROM_AA_SEQ',
'NULL','NUMBER','2013-05-07 00:53:50','FROM_AA_SEQ_16223','NULL','22','NULL','BU25T1_PROGRAMS','Dept programs','NULL','FROM_AA_SEQ',
'If budget org level created from an existing record','NUMBER','2013-05-07 00:53:47','FROM_APPR_SEQ_15337','NULL','22','NULL','BU25T1_APPR','Level for organizational budgeting by dept number','NULL','FROM_APPR_SEQ',
'foreign key to bu25t1_programs','NUMBER','2013-05-07 00:53:49','FROM_PGM_SEQ_15776','NULL','22','NULL','BU25T1_EPROGRAMS','programs for equipment note','NULL','FROM_PGM_SEQ',
'foreign key to bu25t1_programs','NUMBER','2013-05-07 00:53:50','FROM_PGM_SEQ_16224','NULL','22','NULL','BU25T1_PROGRAMS','Dept programs','NULL','FROM_PGM_SEQ',
'full time equivalency positions','NUMBER','2013-05-07 00:53:50','FTE_16065','NULL','22','NULL','BU25T1_HIST_PERS','Historical position counts and appropiation amounts by dept /fund/org and program','NULL','FTE',
'first name and last name','VARCHAR2','2013-05-07 00:53:46','FULL_NAME_15050','NULL','100','NULL','BOOK_ACTIVE_USER','Last active user of Budget Book','NULL','FULL_NAME',
'4 char fund code','VARCHAR2','2013-05-07 00:53:50','FUND_16055','NULL','6','NULL','BU25T1_HIST_PERS','Historical position counts and appropiation amounts by dept /fund/org and program','NULL','FUND',
'Primary key','NUMBER','2013-05-07 00:54:46','FUNDING_ACCT_SEQ_17964','NULL','22','NULL','BU50T1_FUNDING_ACCTS','Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.','NULL','FUNDING_ACCT_SEQ',
'Foreign key to BU50T1_FUNDING_ACCTS','NUMBER','2013-05-07 00:54:47','FUNDING_ACCT_SEQ_18136','NULL','22','NULL','BU50T1_PRJ_FND_STRPS_ORIG_LOAD','Table contains no data.','NULL','FUNDING_ACCT_SEQ',
'Foreign key to BU50T1_FUNDING_ACCTS','NUMBER','2013-05-07 00:54:48','FUNDING_ACCT_SEQ_18530','NULL','22','NULL','BU50T1_PROJ_FUNDING_STRIPS','FMPS funding strips currently associated to a CPM project.','NULL','FUNDING_ACCT_SEQ',
'NULL','VARCHAR2','2013-05-07 00:54:46','FUNDING_PROCESS_NAME_17977','NULL','100','NULL','BU50T1_FUNDING_PROCESS','Contains the funding process as listed in the legacy CIP system.  This table is no longer used.','NULL','FUNDING_PROCESS_NAME',
'Primary key','NUMBER','2013-05-07 00:54:46','FUNDING_PROCESS_SEQ_17976','NULL','22','NULL','BU50T1_FUNDING_PROCESS','Contains the funding process as listed in the legacy CIP system.  This table is no longer used.','NULL','FUNDING_PROCESS_SEQ',
'NULL','VARCHAR2','2013-05-07 00:54:46','FUNDING_SOURCE_NAME_17986','NULL','50','NULL','BU50T1_FUNDING_SOURCE','contains the funding source as listed in the legacy CIP system.  This table is no longer used.','NULL','FUNDING_SOURCE_NAME',
'Foreign key to BU50T1_FUNDING_ACCTS','NUMBER','2013-05-07 00:54:45','FUNDING_SOURCE_SEQ_17512','NULL','22','NULL','BU50T1_BENCHMARKS','legacy table from the CIP system which was replaced by CPM; no longer used in current CPM operations','NULL','FUNDING_SOURCE_SEQ',
'Primary key','NUMBER','2013-05-07 00:54:46','FUNDING_SOURCE_SEQ_17985','NULL','22','NULL','BU50T1_FUNDING_SOURCE','contains the funding source as listed in the legacy CIP system.  This table is no longer used.','NULL','FUNDING_SOURCE_SEQ',
'Year funded','NUMBER','2013-05-07 00:54:18','FUNDING_YEAR_17264','NULL','22','NULL','PREVIOUS_FUNDING','List of previous funding applicant has received for the program they are applying for','NULL','FUNDING_YEAR',
'Year $$ is to be spent','NUMBER','2013-05-07 00:54:47','FUND_ALLOCATION_YEAR_18231','NULL','22','NULL','BU50T1_PROJECT_FUNDS','contains the current funding information for a project at the overall project level.','NULL','FUND_ALLOCATION_YEAR',
'Year $$ is to be spent','NUMBER','2013-05-07 00:54:47','FUND_ALLOCATION_YEAR_18250','NULL','22','NULL','BU50T1_PROJECT_FUND_JN','Contains all project fund changes.','NULL','FUND_ALLOCATION_YEAR',
'property tax supported or non property tax or grant','VARCHAR2','2013-05-07 00:53:48','FUND_CATEGORY_15480','NULL','1','NULL','BU25T1_CODE_OBJECTS','A library listing City department','NULL','FUND_CATEGORY',
'property tax supported or non property tax or grant','VARCHAR2','2013-05-07 00:53:52','FUND_CATEGORY_16538','NULL','1','NULL','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','FUND_CATEGORY',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15146','NULL','6','NULL','BU25T1_ALLOT_EXCPT','Used at the end of the year for FMPS system to designate which departments or funds are not be restricted to quarterly allotments and/or have percentage of appropriation held in reserve.','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15159','NULL','6','NULL','BU25T1_AMENDMENTS','Amendments during Council cycle are entered here.','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15204','NULL','6','NULL','BU25T1_AMEND_DELG','Amendments during Council Cycle for delegate agencies are listed here.','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15286','NULL','6','NULL','BU25T1_AMEND_HISTORY','Current budget year amendment history is stored here if we ever went past 3 rounds. See bu25t1_amendments for column descriptions.','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15333','NULL','6','NULL','BU25T1_APPR','Level for organizational budgeting by dept number','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15395','NULL','4','NULL','BU25T1_CHIPPS_EXTRACT_EMP','Employee data to be loaded into CHIPPS database on Jan. 1','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:47','FUND_CODE_15400','NULL','4','NULL','BU25T1_CHIPPS_EXTRACT_POS','Position data to be loaded into CHIPPS database on Jan. 1','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:48','FUND_CODE_15416','NULL','4','NULL','BU25T1_CHIPPS_EXTRACT_VAC','Vacancy data to be loaded into CHIPPS database on Jan. 1','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:48','FUND_CODE_15450','NULL','4','NULL','BU25T1_CHIPPS_STARTUP_OVERFILL','Snapshot of current Police and Fire dept titles from CHIPPS system (HR) with more positions than budgeted for budget start up.','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:48','FUND_CODE_15467','NULL','4','NULL','BU25T1_CHIPPS_STARTUP_POS','Snapshot of current vacant positions from CHIPPS system (HR) for budget startup process','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:49','FUND_CODE_15712','NULL','6','NULL','BU25T1_EMP_HOLD','A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:49','FUND_CODE_15738','NULL','4','NULL','BU25T1_EMP_HOLD_TEMP','A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:49','FUND_CODE_15914','NULL','6','NULL','BU25T1_EXCLUSIONS','list of budget level orgs to not subtotal because they are reimbursed by other City agencies. Prevents double counting.','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:49','FUND_CODE_15940','NULL','6','NULL','BU25T1_FMPS_IMPORT','Expenditure data from City Comptroller's FMPS system','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:49','FUND_CODE_15952','NULL','6','NULL','BU25T1_FMPS_IMPORT_DETAIL','Expenditure raw data from City Comptroller's FMPS system','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:50','FUND_CODE_15965','NULL','4','NULL','BU25T1_HISTORY_ACCTS','Historical data for dept/fund/org/account appropriations since 1989','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:50','FUND_CODE_16006','NULL','4','NULL','BU25T1_HISTORY_TOTALS','Historical position counts for each dept/fund/org since 1989','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:50','FUND_CODE_16045','NULL','4','NULL','BU25T1_HISTORY_XORGS','Historical list of every dept/fund/org going back to 1989','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:50','FUND_CODE_16089','NULL','6','NULL','BU25T1_INPROCESS','Position table used in producing Budget Book','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:51','FUND_CODE_16308','NULL','6','NULL','BU25T1_REVENUE_APPR','Revenue collections root table by dept','NULL','FUND_CODE',
'4 char fund code','VARCHAR2','2013-05-07 00:53:51','FUND_CODE_16315','NULL','100','NULL','BU25T1_REVENUE_HOLD','Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section','NULL','FUND_CODE',
'Compound Primary key along with 'FUND_SOURCE_YEAR'','VARCHAR2','2013-05-07 00:54:46','FUND_CODE_18011','NULL','4','NULL','BU50T1_FUND_TEMP','Contains fund code as listed in the CIP system.  This table is no longer used.','NULL','FUND_CODE',
'Compound Primary key along with 'FUND_SOURCE_YEAR'','VARCHAR2','2013-05-07 00:54:47','FUND_CODE_18015','NULL','4','NULL','BU50T1_FUND_TEMP2','Contains fund code as listed in the CIP system.  This table is no longer used.','NULL','FUND_CODE',
'NULL','VARCHAR2','2013-05-07 00:54:46','FUND_NAME_17998','NULL','100','NULL','BU50T1_FUNDS','Contains all fund codes in the CPM system.','NULL','FUND_NAME',
'NULL','VARCHAR2','2013-05-07 00:54:47','FUND_NAME_18012','NULL','100','NULL','BU50T1_FUND_TEMP','Contains fund code as listed in the CIP system.  This table is no longer used.','NULL','FUND_NAME',
'NULL','VARCHAR2','2013-05-07 00:54:47','FUND_NAME_18016','NULL','100','NULL','BU50T1_FUND_TEMP2','Contains fund code as listed in the CIP system.  This table is no longer used.','NULL','FUND_NAME',
'Primary key','NUMBER','2013-05-07 00:54:46','FUND_SEQ_17995','NULL','22','NULL','BU50T1_FUNDS','Contains all fund codes in the CPM system.','NULL','FUND_SEQ',
'Fund source year','NUMBER','2013-05-07 00:54:46','FUND_SOURCE_YEAR_17997','NULL','22','NULL','BU50T1_FUNDS','Contains all fund codes in the CPM system.','NULL','FUND_SOURCE_YEAR',
'Compound Primary key along with 'FUND_CODE'','NUMBER','2013-05-07 00:54:47','FUND_SOURCE_YEAR_18013','NULL','22','0','BU50T1_FUND_TEMP','Contains fund code as listed in the CIP system.  This table is no longer used.','NULL','FUND_SOURCE_YEAR',
'Compound Primary key along with 'FUND_CODE'','NUMBER','2013-05-07 00:54:47','FUND_SOURCE_YEAR_18017','NULL','22','0','BU50T1_FUND_TEMP2','Contains fund code as listed in the CIP system.  This table is no longer used.','NULL','FUND_SOURCE_YEAR',
'Local','VARCHAR2','2013-05-07 00:53:48','FUND_TYPE_15482','NULL','1','NULL','BU25T1_CODE_OBJECTS','A library listing City department','NULL','FUND_TYPE',
'Local','VARCHAR2','2013-05-07 00:53:52','FUND_TYPE_16540','NULL','1','NULL','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','FUND_TYPE',
'NULL','VARCHAR2','2013-05-07 00:54:46','FUND_VALID_18001','NULL','1','NULL','BU50T1_FUNDS','Contains all fund codes in the CPM system.','NULL','FUND_VALID',
'FMPS future; compound primary key along with BFY','VARCHAR2','2013-05-07 00:54:46','FUTURE_17919','NULL','4',''0000'','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','FUTURE',
'NULL','VARCHAR2','2013-05-07 00:54:45','FUTURE_DATE_ALLOWED_17622','NULL','1','NULL','BU50T1_CDOT_CONTRACT_BENCHMARK','stores contract benchmark information contained in the legacy system CIP; which was replaced by CPM.','NULL','FUTURE_DATE_ALLOWED',
'First name','VARCHAR2','2013-05-07 00:53:48','F_NAME_15426','NULL','20','NULL','BU25T1_CHIPPS_STARTUP_EMP','Snapshot of current employee information from CHIPPS system (HR) for creating employee and positions at budget startup.','NULL','F_NAME',
'first name','VARCHAR2','2013-05-07 00:53:48','F_NAME_15540','NULL','10','NULL','BU25T1_EMPLOYEES','Employee information for budget process.','NULL','F_NAME',
'first name','VARCHAR2','2013-05-07 00:53:49','F_NAME_15703','NULL','10','NULL','BU25T1_EMP_HOLD','A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','F_NAME',
'NULL','VARCHAR2','2013-05-07 00:53:49','F_NAME_15735','NULL','20','NULL','BU25T1_EMP_HOLD_TEMP','A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','F_NAME',
'FMPS future; compound primary key along with BFY','VARCHAR2','2013-05-07 00:54:46','GENERAL_17918','NULL','5',''00000'','BU50T1_FMPS_EXPENDITURES','Contains expenditure information sent from the FMPS system.','NULL','GENERAL',
'NULL','VARCHAR2','2013-05-07 00:54:46','GENERAL_17936','NULL','5','NULL','BU50T1_FMPS_EXPENDITURE_DETAIL','Table not used.','NULL','GENERAL',
'NULL','VARCHAR2','2013-05-07 00:54:46','GENERAL_17953','NULL','5',''00000'','BU50T1_FMPS_FUNDING_STRIPS','Contains funding strip information recieved from FMPS.','NULL','GENERAL',
'NULL','VARCHAR2','2013-05-07 00:54:47','GENERAL_18114','NULL','5','NULL','BU50T1_PRJ_FND_STRPS_ORIG_LOAD','Table contains no data.','NULL','GENERAL',
'NULL','VARCHAR2','2013-05-07 00:54:48','GENERAL_18525','NULL','5','NULL','BU50T1_PROJ_FUNDING_STRIPS','FMPS funding strips currently associated to a CPM project.','NULL','GENERAL',
'NULL','VARCHAR2','2013-05-07 00:54:46','GENERAL_DESC_17968','NULL','50','NULL','BU50T1_FUNDING_ACCTS','Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.','NULL','GENERAL_DESC',
'type of geographic boundary','VARCHAR2','2013-05-07 00:54:47','GEOGRAPHY_18036','NULL','25','NULL','BU50T1_GEO_SHAPES','Contains all valid geocode shapes/geographies that are available for CPM use.','NULL','GEOGRAPHY',
'not used','VARCHAR2','2013-05-07 00:54:47','GEO_AFFECTED_18207','NULL','2','NULL','BU50T1_PROJECTS','Table contains the header information for all CPM projects.','NULL','GEO_AFFECTED',
'Primary key','NUMBER','2013-05-07 00:54:47','GEO_BOUNDARY_SEQ_18018','NULL','22','NULL','BU50T1_GEO_BOUNDARIES','Contains the geography boundaries for geocoding.','NULL','GEO_BOUNDARY_SEQ',
'Contains actual data value ','VARCHAR2','2013-05-07 00:54:47','GEO_RESULT_18024','NULL','15','NULL','BU50T1_GEO_RESULTS','Contains the geocoding results for an address/location.','NULL','GEO_RESULT',
'Primary key','NUMBER','2013-05-07 00:54:47','GEO_RESULT_SEQ_18023','NULL','22','NULL','BU50T1_GEO_RESULTS','Contains the geocoding results for an address/location.','NULL','GEO_RESULT_SEQ',
'indicates type of geocgraphic boundary - foreign key to BU50T1_GEO_SHAPES','NUMBER','2013-05-07 00:54:47','GEO_SHAPE_SEQ_18022','NULL','22','NULL','BU50T1_GEO_BOUNDARIES','Contains the geography boundaries for geocoding.','NULL','GEO_SHAPE_SEQ',
'indicates type of geocgraphic boundary - foreign key to BU50T1_GEO_SHAPES','NUMBER','2013-05-07 00:54:47','GEO_SHAPE_SEQ_18027','NULL','22','NULL','BU50T1_GEO_RESULTS','Contains the geocoding results for an address/location.','NULL','GEO_SHAPE_SEQ',
'Primary key','NUMBER','2013-05-07 00:54:47','GEO_SHAPE_SEQ_18035','NULL','22','NULL','BU50T1_GEO_SHAPES','Contains all valid geocode shapes/geographies that are available for CPM use.','NULL','GEO_SHAPE_SEQ',
'Geography number','VARCHAR2','2013-05-07 00:54:47','GEO_TYPE_18049','NULL','2','NULL','BU50T1_GEO_SHAPES','Contains all valid geocode shapes/geographies that are available for CPM use.','NULL','GEO_TYPE',
'not used anymore','VARCHAR2','2013-05-07 00:54:44','GIS_OBJECT_ID_17411','NULL','100','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','GIS_OBJECT_ID',
'Pay grade within a Schedule','VARCHAR2','2013-05-07 00:53:51','GRADE_16374','NULL','4','NULL','BU25T1_SCHEDULES','Pay schedules and grades.','NULL','GRADE',
'Lane within a Schedule','VARCHAR2','2013-05-07 00:53:51','GRADE_16402','NULL','4','NULL','BU25T1_STEPS','Child of bu25t1_schedules. Pay rates by chedule','NULL','GRADE',
'pay grade','VARCHAR2','2013-05-07 00:53:51','GRADE_16417','NULL','4','NULL','BU25T1_STEPS_NEW','Used for applying new step increases in effect for next budget year','NULL','GRADE',
'pay grade','VARCHAR2','2013-05-07 00:53:51','GRADE_16459','NULL','4','NULL','BU25T1_TITLES','All title codes for the City of Chicago','NULL','GRADE',
'Amount of money carried over from prior year if grant.','NUMBER','2013-05-07 00:53:47','GRANTS_CARRYOVER_15355','NULL','22','NULL','BU25T1_APPR','Level for organizational budgeting by dept number','NULL','GRANTS_CARRYOVER',
'If grant org','NUMBER','2013-05-07 00:53:47','GRANTS_TARGET_15357','NULL','22','0','BU25T1_APPR','Level for organizational budgeting by dept number','NULL','GRANTS_TARGET',
'includes FMPS payroll codes 0005','NUMBER','2013-05-07 00:53:52','GROSS_AMOUNT_16587','NULL','22','NULL','BU26T1_PAYROLL','Stores the payroll information used for chicago budget system (CBS) reporting purposes.','NULL','GROSS_AMOUNT',
'includes FMPS payroll codes 0005','NUMBER','2013-05-07 00:53:52','GROSS_AMOUNT_16611','NULL','22','NULL','BU26T1_PAYROLL_DETAIL','Stores the most recent payroll.','NULL','GROSS_AMOUNT',
'Includes FMPS payroll codes 0005','NUMBER','2013-05-07 00:53:52','GROSS_AMOUNT_16629','NULL','22','NULL','BU26T1_PAYROLL_HISTORY','Stores previous payrolls copied from the BU26T1_PAYROLL_DETAIL table.','NULL','GROSS_AMOUNT',
'includes all FMPS payroll codes','NUMBER','2013-05-07 00:53:52','GROSS_AMOUNT_ALLCODES_16588','NULL','22','NULL','BU26T1_PAYROLL','Stores the payroll information used for chicago budget system (CBS) reporting purposes.','NULL','GROSS_AMOUNT_ALLCODES',
''includes all FMPS payroll codes','NUMBER','2013-05-07 00:53:52','GROSS_AMOUNT_ALLCODES_16612','NULL','22','NULL','BU26T1_PAYROLL_DETAIL','Stores the most recent payroll.','NULL','GROSS_AMOUNT_ALLCODES',
'Not used','TEXT','2013-05-07 01:04:49','Hair_Color_20357','NULL','20','NULL','EPI_PERSON.DBA','Contains demographic information of registered clients','NULL','Hair_Color',
'1 - yes','NUMBER','2013-05-07 00:54:17','HAS_FOOD_HANDLERS_CERTIFICATE_17045','NULL','22','1=Yes','DHS_PROGRAM_INFORMATION','Homelessness program applicants program details','NULL','HAS_FOOD_HANDLERS_CERTIFICATE',
'1 - yes','NUMBER','2013-05-07 00:54:17','HAS_FOOD_HANDLERS_LICENSE_16960','NULL','22','1=Yes','DHS_LICENSING','Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.','NULL','HAS_FOOD_HANDLERS_LICENSE',
'not used','NUMBER','2013-05-07 00:54:17','HAS_RETAIL_FOOD_LICENSE_16964','NULL','22','0','DHS_LICENSING','Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.','NULL','HAS_RETAIL_FOOD_LICENSE',
'number of vacancies','NUMBER','2013-05-07 00:53:48','HEADCOUNT_15423','NULL','22','NULL','BU25T1_CHIPPS_EXTRACT_VAC','Vacancy data to be loaded into CHIPPS database on Jan. 1','NULL','HEADCOUNT',
'Header to display on page','VARCHAR2','2013-05-07 00:53:46','HEADER_15111','NULL','200','NULL','BOOK_SECTION','Budget Book/Grant Book section','NULL','HEADER',
'number of employees?','VARCHAR2','2013-05-07 00:53:48','HEAD_COUNT_15414','NULL','6','NULL','BU25T1_CHIPPS_EXTRACT_POS','Position data to be loaded into CHIPPS database on Jan. 1','NULL','HEAD_COUNT',
