Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.,DHS_LICENSING,FOOD_HANDLERS_LICENSE_NUMBER,FOOD_HANDLERS_LICENSE_NUMBER,not used,not used,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,FOOD_HANDLERS_LICENSE_NUMBER_16963,NULL,22.0,NULL,NULL
Additional agencies that applicant refers clients to.,DHS_SERVICE_LINKAGE,FORMAL_AGREEMENT,FORMAL_AGREEMENT,Formal agreement? 1 - yes,Formal agreement? 1 - yes,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,FORMAL_AGREEMENT_17085,NULL,22.0,1=Yes,NULL
Attributes about the filing form - when it was created,FORM,FORMSTATUS,FORMSTATUS,status of form - draft,status of form - draft,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,FORMSTATUS_20553,NULL,30.0,NULL,NULL
Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.,BU25T1_APPR_AMTS,FROM_AA_SEQ,FROM_AA_SEQ,If this was created from an existing record,If this was created from an existing record,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FROM_AA_SEQ_15379,NULL,22.0,NULL,NULL
programs for equipment note,BU25T1_EPROGRAMS,FROM_AA_SEQ,FROM_AA_SEQ,not used,not used,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FROM_AA_SEQ_15775,NULL,22.0,NULL,NULL
Dept programs,BU25T1_PROGRAMS,FROM_AA_SEQ,FROM_AA_SEQ,NULL,NULL,NUMBER,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FROM_AA_SEQ_16223,NULL,22.0,NULL,NULL
Level for organizational budgeting by dept number,BU25T1_APPR,FROM_APPR_SEQ,FROM_APPR_SEQ,If budget org level created from an existing record,If budget org level created from an existing record,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FROM_APPR_SEQ_15337,NULL,22.0,NULL,NULL
programs for equipment note,BU25T1_EPROGRAMS,FROM_PGM_SEQ,FROM_PGM_SEQ,foreign key to bu25t1_programs,foreign key to bu25t1_programs,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FROM_PGM_SEQ_15776,NULL,22.0,NULL,NULL
Dept programs,BU25T1_PROGRAMS,FROM_PGM_SEQ,FROM_PGM_SEQ,foreign key to bu25t1_programs,foreign key to bu25t1_programs,NUMBER,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FROM_PGM_SEQ_16224,NULL,22.0,NULL,NULL
Historical position counts and appropiation amounts by dept /fund/org and program,BU25T1_HIST_PERS,FTE,FTE,full time equivalency positions,full time equivalency positions,NUMBER,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FTE_16065,NULL,22.0,NULL,NULL
Last active user of Budget Book,BOOK_ACTIVE_USER,FULL_NAME,FULL_NAME,first name and last name,first name and last name,VARCHAR2,2013-05-07 00:53:46,2013-05-07T00:53:46Z,FULL_NAME_15050,NULL,100.0,NULL,NULL
Historical position counts and appropiation amounts by dept /fund/org and program,BU25T1_HIST_PERS,FUND,FUND,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FUND_16055,NULL,6.0,NULL,NULL
Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_ACCTS,FUNDING_ACCT_SEQ,FUNDING_ACCT_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUNDING_ACCT_SEQ_17964,NULL,22.0,NULL,NULL
Table contains no data.,BU50T1_PRJ_FND_STRPS_ORIG_LOAD,FUNDING_ACCT_SEQ,FUNDING_ACCT_SEQ,Foreign key to BU50T1_FUNDING_ACCTS,Foreign key to BU50T1_FUNDING_ACCTS,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUNDING_ACCT_SEQ_18136,NULL,22.0,NULL,NULL
FMPS funding strips currently associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS,FUNDING_ACCT_SEQ,FUNDING_ACCT_SEQ,Foreign key to BU50T1_FUNDING_ACCTS,Foreign key to BU50T1_FUNDING_ACCTS,NUMBER,2013-05-07 00:54:48,2013-05-07T00:54:48Z,FUNDING_ACCT_SEQ_18530,NULL,22.0,NULL,NULL
Contains the funding process as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_PROCESS,FUNDING_PROCESS_NAME,FUNDING_PROCESS_NAME,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUNDING_PROCESS_NAME_17977,NULL,100.0,NULL,NULL
Contains the funding process as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_PROCESS,FUNDING_PROCESS_SEQ,FUNDING_PROCESS_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUNDING_PROCESS_SEQ_17976,NULL,22.0,NULL,NULL
contains the funding source as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_SOURCE,FUNDING_SOURCE_NAME,FUNDING_SOURCE_NAME,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUNDING_SOURCE_NAME_17986,NULL,50.0,NULL,NULL
legacy table from the CIP system which was replaced by CPM; no longer used in current CPM operations,BU50T1_BENCHMARKS,FUNDING_SOURCE_SEQ,FUNDING_SOURCE_SEQ,Foreign key to BU50T1_FUNDING_ACCTS,Foreign key to BU50T1_FUNDING_ACCTS,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,FUNDING_SOURCE_SEQ_17512,NULL,22.0,NULL,NULL
contains the funding source as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_SOURCE,FUNDING_SOURCE_SEQ,FUNDING_SOURCE_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUNDING_SOURCE_SEQ_17985,NULL,22.0,NULL,NULL
List of previous funding applicant has received for the program they are applying for,PREVIOUS_FUNDING,FUNDING_YEAR,FUNDING_YEAR,Year funded,Year funded,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,FUNDING_YEAR_17264,NULL,22.0,NULL,NULL
contains the current funding information for a project at the overall project level.,BU50T1_PROJECT_FUNDS,FUND_ALLOCATION_YEAR,FUND_ALLOCATION_YEAR,Year $$ is to be spent,Year $$ is to be spent,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_ALLOCATION_YEAR_18231,NULL,22.0,NULL,NULL
Contains all project fund changes.,BU50T1_PROJECT_FUND_JN,FUND_ALLOCATION_YEAR,FUND_ALLOCATION_YEAR,Year $$ is to be spent,Year $$ is to be spent,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_ALLOCATION_YEAR_18250,NULL,22.0,NULL,NULL
A library listing City department,BU25T1_CODE_OBJECTS,FUND_CATEGORY,FUND_CATEGORY,property tax supported or non property tax or grant,property tax supported or non property tax or grant,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,FUND_CATEGORY_15480,NULL,1.0,NULL,NULL
Contains references that are used by the budget system (CBS) for processing and application use.,BU26T1_CODE_OBJECTS,FUND_CATEGORY,FUND_CATEGORY,property tax supported or non property tax or grant,property tax supported or non property tax or grant,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,FUND_CATEGORY_16538,NULL,1.0,NULL,NULL
Used at the end of the year for FMPS system to designate which departments or funds are not be restricted to quarterly allotments and/or have percentage of appropriation held in reserve.,BU25T1_ALLOT_EXCPT,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15146,NULL,6.0,NULL,NULL
Amendments during Council cycle are entered here.,BU25T1_AMENDMENTS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15159,NULL,6.0,NULL,NULL
Amendments during Council Cycle for delegate agencies are listed here.,BU25T1_AMEND_DELG,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15204,NULL,6.0,NULL,NULL
Current budget year amendment history is stored here if we ever went past 3 rounds. See bu25t1_amendments for column descriptions.,BU25T1_AMEND_HISTORY,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15286,NULL,6.0,NULL,NULL
Level for organizational budgeting by dept number,BU25T1_APPR,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15333,NULL,6.0,NULL,NULL
Employee data to be loaded into CHIPPS database on Jan. 1,BU25T1_CHIPPS_EXTRACT_EMP,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15395,NULL,4.0,NULL,NULL
Position data to be loaded into CHIPPS database on Jan. 1,BU25T1_CHIPPS_EXTRACT_POS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,FUND_CODE_15400,NULL,4.0,NULL,NULL
Vacancy data to be loaded into CHIPPS database on Jan. 1,BU25T1_CHIPPS_EXTRACT_VAC,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,FUND_CODE_15416,NULL,4.0,NULL,NULL
Snapshot of current Police and Fire dept titles from CHIPPS system (HR) with more positions than budgeted for budget start up.,BU25T1_CHIPPS_STARTUP_OVERFILL,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,FUND_CODE_15450,NULL,4.0,NULL,NULL
Snapshot of current vacant positions from CHIPPS system (HR) for budget startup process,BU25T1_CHIPPS_STARTUP_POS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,FUND_CODE_15467,NULL,4.0,NULL,NULL
A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FUND_CODE_15712,NULL,6.0,NULL,NULL
A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD_TEMP,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FUND_CODE_15738,NULL,4.0,NULL,NULL
list of budget level orgs to not subtotal because they are reimbursed by other City agencies. Prevents double counting.,BU25T1_EXCLUSIONS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FUND_CODE_15914,NULL,6.0,NULL,NULL
Expenditure data from City Comptrollers FMPS system,BU25T1_FMPS_IMPORT,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FUND_CODE_15940,NULL,6.0,NULL,NULL
Expenditure raw data from City Comptrollers FMPS system,BU25T1_FMPS_IMPORT_DETAIL,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,FUND_CODE_15952,NULL,6.0,NULL,NULL
Historical data for dept/fund/org/account appropriations since 1989,BU25T1_HISTORY_ACCTS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FUND_CODE_15965,NULL,4.0,NULL,NULL
Historical position counts for each dept/fund/org since 1989,BU25T1_HISTORY_TOTALS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FUND_CODE_16006,NULL,4.0,NULL,NULL
Historical list of every dept/fund/org going back to 1989,BU25T1_HISTORY_XORGS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FUND_CODE_16045,NULL,4.0,NULL,NULL
Position table used in producing Budget Book,BU25T1_INPROCESS,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,FUND_CODE_16089,NULL,6.0,NULL,NULL
Revenue collections root table by dept,BU25T1_REVENUE_APPR,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,FUND_CODE_16308,NULL,6.0,NULL,NULL
Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section,BU25T1_REVENUE_HOLD,FUND_CODE,FUND_CODE,4 char fund code,4 char fund code,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,FUND_CODE_16315,NULL,100.0,NULL,NULL
Contains fund code as listed in the CIP system.  This table is no longer used.,BU50T1_FUND_TEMP,FUND_CODE,FUND_CODE,Compound Primary key along with FUND_SOURCE_YEAR,Compound Primary key along with FUND_SOURCE_YEAR,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUND_CODE_18011,NULL,4.0,NULL,NULL
Contains fund code as listed in the CIP system.  This table is no longer used.,BU50T1_FUND_TEMP2,FUND_CODE,FUND_CODE,Compound Primary key along with FUND_SOURCE_YEAR,Compound Primary key along with FUND_SOURCE_YEAR,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_CODE_18015,NULL,4.0,NULL,NULL
Contains all fund codes in the CPM system.,BU50T1_FUNDS,FUND_NAME,FUND_NAME,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUND_NAME_17998,NULL,100.0,NULL,NULL
Contains fund code as listed in the CIP system.  This table is no longer used.,BU50T1_FUND_TEMP,FUND_NAME,FUND_NAME,NULL,NULL,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_NAME_18012,NULL,100.0,NULL,NULL
Contains fund code as listed in the CIP system.  This table is no longer used.,BU50T1_FUND_TEMP2,FUND_NAME,FUND_NAME,NULL,NULL,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_NAME_18016,NULL,100.0,NULL,NULL
Contains all fund codes in the CPM system.,BU50T1_FUNDS,FUND_SEQ,FUND_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUND_SEQ_17995,NULL,22.0,NULL,NULL
Contains all fund codes in the CPM system.,BU50T1_FUNDS,FUND_SOURCE_YEAR,FUND_SOURCE_YEAR,Fund source year,Fund source year,NUMBER,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUND_SOURCE_YEAR_17997,NULL,22.0,NULL,NULL
Contains fund code as listed in the CIP system.  This table is no longer used.,BU50T1_FUND_TEMP,FUND_SOURCE_YEAR,FUND_SOURCE_YEAR,Compound Primary key along with FUND_CODE,Compound Primary key along with FUND_CODE,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_SOURCE_YEAR_18013,NULL,22.0,0,NULL
Contains fund code as listed in the CIP system.  This table is no longer used.,BU50T1_FUND_TEMP2,FUND_SOURCE_YEAR,FUND_SOURCE_YEAR,Compound Primary key along with FUND_CODE,Compound Primary key along with FUND_CODE,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,FUND_SOURCE_YEAR_18017,NULL,22.0,0,NULL
A library listing City department,BU25T1_CODE_OBJECTS,FUND_TYPE,FUND_TYPE,Local,Local,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,FUND_TYPE_15482,NULL,1.0,NULL,NULL
Contains references that are used by the budget system (CBS) for processing and application use.,BU26T1_CODE_OBJECTS,FUND_TYPE,FUND_TYPE,Local,Local,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,FUND_TYPE_16540,NULL,1.0,NULL,NULL
Contains all fund codes in the CPM system.,BU50T1_FUNDS,FUND_VALID,FUND_VALID,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUND_VALID_18001,NULL,1.0,NULL,NULL
Contains expenditure information sent from the FMPS system.,BU50T1_FMPS_EXPENDITURES,FUTURE,FUTURE,FMPS future; compound primary key along with BFY,FMPS future; compound primary key along with BFY,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,FUTURE_17919,NULL,4.0,0000,NULL
stores contract benchmark information contained in the legacy system CIP; which was replaced by CPM.,BU50T1_CDOT_CONTRACT_BENCHMARK,FUTURE_DATE_ALLOWED,FUTURE_DATE_ALLOWED,NULL,NULL,VARCHAR2,2013-05-07 00:54:45,2013-05-07T00:54:45Z,FUTURE_DATE_ALLOWED_17622,NULL,1.0,NULL,NULL
Snapshot of current employee information from CHIPPS system (HR) for creating employee and positions at budget startup.,BU25T1_CHIPPS_STARTUP_EMP,F_NAME,F_NAME,First name,First name,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,F_NAME_15426,NULL,20.0,NULL,NULL
Employee information for budget process.,BU25T1_EMPLOYEES,F_NAME,F_NAME,first name,first name,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,F_NAME_15540,NULL,10.0,NULL,NULL
A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD,F_NAME,F_NAME,first name,first name,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,F_NAME_15703,NULL,10.0,NULL,NULL
A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations,BU25T1_EMP_HOLD_TEMP,F_NAME,F_NAME,NULL,NULL,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,F_NAME_15735,NULL,20.0,NULL,NULL
Contains expenditure information sent from the FMPS system.,BU50T1_FMPS_EXPENDITURES,GENERAL,GENERAL,FMPS future; compound primary key along with BFY,FMPS future; compound primary key along with BFY,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,GENERAL_17918,NULL,5.0,00000,NULL
Table not used.,BU50T1_FMPS_EXPENDITURE_DETAIL,GENERAL,GENERAL,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,GENERAL_17936,NULL,5.0,NULL,NULL
Contains funding strip information recieved from FMPS.,BU50T1_FMPS_FUNDING_STRIPS,GENERAL,GENERAL,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,GENERAL_17953,NULL,5.0,00000,NULL
Table contains no data.,BU50T1_PRJ_FND_STRPS_ORIG_LOAD,GENERAL,GENERAL,NULL,NULL,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GENERAL_18114,NULL,5.0,NULL,NULL
FMPS funding strips currently associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS,GENERAL,GENERAL,NULL,NULL,VARCHAR2,2013-05-07 00:54:48,2013-05-07T00:54:48Z,GENERAL_18525,NULL,5.0,NULL,NULL
Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_ACCTS,GENERAL_DESC,GENERAL_DESC,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,GENERAL_DESC_17968,NULL,50.0,NULL,NULL
Contains all valid geocode shapes/geographies that are available for CPM use.,BU50T1_GEO_SHAPES,GEOGRAPHY,GEOGRAPHY,type of geographic boundary,type of geographic boundary,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEOGRAPHY_18036,NULL,25.0,NULL,NULL
Table contains the header information for all CPM projects.,BU50T1_PROJECTS,GEO_AFFECTED,GEO_AFFECTED,not used,not used,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_AFFECTED_18207,NULL,2.0,NULL,NULL
Contains the geography boundaries for geocoding.,BU50T1_GEO_BOUNDARIES,GEO_BOUNDARY_SEQ,GEO_BOUNDARY_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_BOUNDARY_SEQ_18018,NULL,22.0,NULL,NULL
Contains the geocoding results for an address/location.,BU50T1_GEO_RESULTS,GEO_RESULT,GEO_RESULT,Contains actual data value ,Contains actual data value ,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_RESULT_18024,NULL,15.0,NULL,NULL
Contains the geocoding results for an address/location.,BU50T1_GEO_RESULTS,GEO_RESULT_SEQ,GEO_RESULT_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_RESULT_SEQ_18023,NULL,22.0,NULL,NULL
Contains the geography boundaries for geocoding.,BU50T1_GEO_BOUNDARIES,GEO_SHAPE_SEQ,GEO_SHAPE_SEQ,indicates type of geocgraphic boundary - foreign key to BU50T1_GEO_SHAPES,indicates type of geocgraphic boundary - foreign key to BU50T1_GEO_SHAPES,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_SHAPE_SEQ_18022,NULL,22.0,NULL,NULL
Contains the geocoding results for an address/location.,BU50T1_GEO_RESULTS,GEO_SHAPE_SEQ,GEO_SHAPE_SEQ,indicates type of geocgraphic boundary - foreign key to BU50T1_GEO_SHAPES,indicates type of geocgraphic boundary - foreign key to BU50T1_GEO_SHAPES,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_SHAPE_SEQ_18027,NULL,22.0,NULL,NULL
Contains all valid geocode shapes/geographies that are available for CPM use.,BU50T1_GEO_SHAPES,GEO_SHAPE_SEQ,GEO_SHAPE_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_SHAPE_SEQ_18035,NULL,22.0,NULL,NULL
Contains all valid geocode shapes/geographies that are available for CPM use.,BU50T1_GEO_SHAPES,GEO_TYPE,GEO_TYPE,Geography number,Geography number,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,GEO_TYPE_18049,NULL,2.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,GIS_OBJECT_ID,GIS_OBJECT_ID,not used anymore,not used anymore,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,GIS_OBJECT_ID_17411,NULL,100.0,NULL,NULL
Pay schedules and grades.,BU25T1_SCHEDULES,GRADE,GRADE,Pay grade within a Schedule,Pay grade within a Schedule,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,GRADE_16374,NULL,4.0,NULL,NULL
Child of bu25t1_schedules. Pay rates by chedule,BU25T1_STEPS,GRADE,GRADE,Lane within a Schedule,Lane within a Schedule,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,GRADE_16402,NULL,4.0,NULL,NULL
Used for applying new step increases in effect for next budget year,BU25T1_STEPS_NEW,GRADE,GRADE,pay grade,pay grade,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,GRADE_16417,NULL,4.0,NULL,NULL
All title codes for the City of Chicago,BU25T1_TITLES,GRADE,GRADE,pay grade,pay grade,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,GRADE_16459,NULL,4.0,NULL,NULL
Level for organizational budgeting by dept number,BU25T1_APPR,GRANTS_CARRYOVER,GRANTS_CARRYOVER,Amount of money carried over from prior year if grant.,Amount of money carried over from prior year if grant.,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,GRANTS_CARRYOVER_15355,NULL,22.0,NULL,NULL
Level for organizational budgeting by dept number,BU25T1_APPR,GRANTS_TARGET,GRANTS_TARGET,If grant org,If grant org,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,GRANTS_TARGET_15357,NULL,22.0,0,NULL
Stores the payroll information used for chicago budget system (CBS) reporting purposes.,BU26T1_PAYROLL,GROSS_AMOUNT,GROSS_AMOUNT,includes FMPS payroll codes 0005,includes FMPS payroll codes 0005,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,GROSS_AMOUNT_16587,NULL,22.0,NULL,NULL
Stores the most recent payroll.,BU26T1_PAYROLL_DETAIL,GROSS_AMOUNT,GROSS_AMOUNT,includes FMPS payroll codes 0005,includes FMPS payroll codes 0005,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,GROSS_AMOUNT_16611,NULL,22.0,NULL,NULL
Stores previous payrolls copied from the BU26T1_PAYROLL_DETAIL table.,BU26T1_PAYROLL_HISTORY,GROSS_AMOUNT,GROSS_AMOUNT,Includes FMPS payroll codes 0005,Includes FMPS payroll codes 0005,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,GROSS_AMOUNT_16629,NULL,22.0,NULL,NULL
Stores the payroll information used for chicago budget system (CBS) reporting purposes.,BU26T1_PAYROLL,GROSS_AMOUNT_ALLCODES,GROSS_AMOUNT_ALLCODES,includes all FMPS payroll codes,includes all FMPS payroll codes,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,GROSS_AMOUNT_ALLCODES_16588,NULL,22.0,NULL,NULL
Stores the most recent payroll.,BU26T1_PAYROLL_DETAIL,GROSS_AMOUNT_ALLCODES,GROSS_AMOUNT_ALLCODES,includes all FMPS payroll codes,includes all FMPS payroll codes,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,GROSS_AMOUNT_ALLCODES_16612,NULL,22.0,NULL,NULL
Contains demographic information of registered clients,EPI_PERSON.DBA,Hair_Color,Hair_Color,Not used,Not used,TEXT,2013-05-07 01:04:49,2013-05-07T01:04:49Z,Hair_Color_20357,NULL,20.0,NULL,NULL
Homelessness program applicants program details,DHS_PROGRAM_INFORMATION,HAS_FOOD_HANDLERS_CERTIFICATE,HAS_FOOD_HANDLERS_CERTIFICATE,1 - yes,1 - yes,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,HAS_FOOD_HANDLERS_CERTIFICATE_17045,NULL,22.0,1=Yes,NULL
Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.,DHS_LICENSING,HAS_FOOD_HANDLERS_LICENSE,HAS_FOOD_HANDLERS_LICENSE,1 - yes,1 - yes,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,HAS_FOOD_HANDLERS_LICENSE_16960,NULL,22.0,1=Yes,NULL
Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.,DHS_LICENSING,HAS_RETAIL_FOOD_LICENSE,HAS_RETAIL_FOOD_LICENSE,not used,not used,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,HAS_RETAIL_FOOD_LICENSE_16964,NULL,22.0,0,NULL
Vacancy data to be loaded into CHIPPS database on Jan. 1,BU25T1_CHIPPS_EXTRACT_VAC,HEADCOUNT,HeadCount,number of vacancies,number of vacancies,NUMBER,2013-05-07 00:53:48,2013-05-07T00:53:48Z,HEADCOUNT_15423,NULL,22.0,NULL,NULL
Budget Book/Grant Book section,BOOK_SECTION,HEADER,HEADER,Header to display on page,Header to display on page,VARCHAR2,2013-05-07 00:53:46,2013-05-07T00:53:46Z,HEADER_15111,NULL,200.0,NULL,NULL
